# Force coefficients
# dragDir           : (9.902680813243e-01 1.391730114294e-01 0.000000000000e+00)
# sideDir           : (0.000000000000e+00 0.000000000000e+00 -1.000000000000e+00)
# liftDir           : (-1.391730114294e-01 9.902680813243e-01 0.000000000000e+00)
# rollAxis          : (9.902680813243e-01 1.391730114294e-01 0.000000000000e+00)
# pitchAxis         : (0.000000000000e+00 0.000000000000e+00 -1.000000000000e+00)
# yawAxis           : (-1.391730114294e-01 9.902680813243e-01 0.000000000000e+00)
# magUInf           : 6.000000000000e+01
# lRef              : 1.000000000000e+00
# Aref              : 1.000000000000e+00
# CofR              : (0.000000000000e+00 0.000000000000e+00 5.000000000000e-01)
#
# Time              	Cd                  	Cs                  	Cl                  	CmRoll              	CmPitch             	CmYaw               	Cd(f)               	Cd(r)               	Cs(f)               	Cs(r)               	Cl(f)               	Cl(r)               
6.32518e-05         	1.462660883649e+01	-6.642255416777e-17	6.395966189280e+01	1.331698716399e-15	-3.274945722529e+01	-3.928005572583e-16	7.313304418244e+00	7.313304418244e+00	-4.260118343422e-16	3.595892801744e-16	-7.696262788938e-01	6.472928817170e+01
0.000129784         	-7.568870893616e+00	3.341168366354e-16	-3.278497738819e+01	3.200667173352e-15	1.701259854281e+01	-6.180255428727e-16	-3.784435446808e+00	-3.784435446808e+00	-4.509671245550e-16	7.850839611904e-16	6.201098487140e-01	-3.340508723690e+01
0.000206139         	2.259748095851e-01	-1.027022740094e-16	1.083310936336e+00	-1.236254743950e-16	-4.117356269489e-01	-2.208708726027e-17	1.129874047925e-01	1.129874047925e-01	-7.343822426497e-17	-2.926404974444e-17	1.299198412190e-01	9.533910951168e-01
0.000294695         	3.757696307761e-02	-4.421629227008e-16	3.013823410972e-01	-1.933995623131e-17	-9.028579225620e-04	-2.034772401253e-16	1.878848153880e-02	1.878848153880e-02	-4.245587014756e-16	-1.760422122514e-17	1.497883126260e-01	1.515940284712e-01
0.000396606         	5.802109240475e-02	-6.032501452747e-17	4.248926552039e-01	1.138231173184e-17	-7.221257255671e-02	-2.460290807758e-17	2.901054620237e-02	2.901054620237e-02	-5.476541534132e-17	-5.559599186154e-18	1.402337550452e-01	2.846589001587e-01
0.000511965         	5.858408675444e-02	-2.359504426473e-17	4.462861114815e-01	6.552114536791e-18	-8.305362062784e-02	-1.424376871507e-17	2.929204337722e-02	2.929204337722e-02	-2.604129084744e-17	2.446246582710e-18	1.400894351129e-01	3.061966763686e-01
0.000640932         	5.953289977038e-02	-4.990574995085e-17	4.723516878951e-01	6.855958105038e-18	-9.907566524826e-02	-2.504169175713e-17	2.976644988519e-02	2.976644988519e-02	-4.999456673256e-17	8.881678170869e-20	1.371001786993e-01	3.352515091958e-01
0.00077745          	6.002385504589e-02	1.933678772282e-16	4.919513452360e-01	-4.496734736855e-17	-1.115720314832e-01	9.867359907039e-17	3.001192752294e-02	3.001192752294e-02	1.953575376845e-16	-1.989660456288e-18	1.344036411348e-01	3.575477041012e-01
0.000914685         	6.026493602896e-02	-6.619252887332e-17	5.016533973725e-01	-5.752680881533e-17	-1.171520673401e-01	-2.317234219386e-17	3.013246801448e-02	3.013246801448e-02	-5.626860663052e-17	-9.923922242800e-18	1.336746313461e-01	3.679787660264e-01
0.00105563          	5.820288269912e-02	-2.619843375643e-16	4.931438185183e-01	-3.164318701535e-18	-1.106161809377e-01	-1.256041383817e-16	2.910144134956e-02	2.910144134956e-02	-2.565963071639e-16	-5.388030400390e-18	1.359557283214e-01	3.571880901969e-01
0.00120514          	5.602926665245e-02	-3.689080096632e-17	4.887521551349e-01	1.338440229650e-18	-1.058501999728e-01	-2.024519857971e-17	2.801463332623e-02	2.801463332623e-02	-3.869059906287e-17	1.799798096550e-18	1.385258775946e-01	3.502262775402e-01
0.0013669           	5.563980375415e-02	1.486802475084e-16	4.929869994674e-01	-3.676495549967e-17	-1.077851477353e-01	7.739411097497e-17	2.781990187708e-02	2.781990187708e-02	1.517342347292e-16	-3.053987220769e-18	1.387083519984e-01	3.542786474690e-01
0.00152312          	5.649647355271e-02	-2.338546893043e-16	5.028094487187e-01	-3.227543159517e-18	-1.138993114518e-01	-1.105457450885e-16	2.824823677635e-02	2.824823677635e-02	-2.274730897407e-16	-6.381599563621e-18	1.375054129076e-01	3.653040358111e-01
0.00167945          	5.766252837412e-02	-2.599765031823e-17	5.159077563600e-01	1.378201256231e-17	-1.216362941952e-01	-9.616461618721e-18	2.883126418706e-02	2.883126418706e-02	-2.261528677783e-17	-3.382363540393e-18	1.363175839848e-01	3.795901723752e-01
0.00184366          	5.850989368593e-02	1.447282745355e-16	5.263977139820e-01	-4.731654828316e-17	-1.274876292222e-01	7.165727476525e-17	2.925494684297e-02	2.925494684297e-02	1.440214120330e-16	7.068625025022e-19	1.357112277688e-01	3.906864862132e-01
0.00201979          	5.913361756418e-02	-2.093686640972e-16	5.340529415890e-01	6.032187893565e-19	-1.313337895826e-01	-9.397050229812e-17	2.956680878209e-02	2.956680878209e-02	-1.986548343467e-16	-1.071382975048e-17	1.356926812119e-01	3.983602603771e-01
0.00220069          	5.954770946843e-02	1.305077643906e-16	5.395226268002e-01	-5.508488979963e-17	-1.333800843083e-01	6.475748998924e-17	2.977385473422e-02	2.977385473422e-02	1.300113721845e-16	4.963922060614e-19	1.363812290919e-01	4.031413977084e-01
0.00238705          	5.929093184616e-02	-1.893365802725e-16	5.426487580815e-01	-5.605547363916e-18	-1.338873010785e-01	-8.816298436197e-17	2.964546592308e-02	2.964546592308e-02	-1.828312744982e-16	-6.505305774291e-18	1.374370779622e-01	4.052116801193e-01
0.00257012          	5.926746076592e-02	-3.397385842870e-17	5.467159962592e-01	1.008422178107e-17	-1.350997810108e-01	-1.837207640365e-17	2.963373038296e-02	2.963373038296e-02	-3.535900561800e-17	1.385147189303e-18	1.382582171188e-01	4.084577791403e-01
0.00274902          	5.918623930260e-02	-1.924502684031e-17	5.519573146202e-01	5.835851656560e-18	-1.372620080188e-01	-8.572096431824e-18	2.959311965130e-02	2.959311965130e-02	-1.819460985198e-17	-1.050416988331e-18	1.387166492913e-01	4.132406653289e-01
0.00292731          	5.919078400383e-02	-3.738880155356e-17	5.577340746891e-01	1.242500873836e-17	-1.398117279334e-01	-1.776836415589e-17	2.959539200192e-02	2.959539200192e-02	-3.646276493267e-17	-9.260366208934e-19	1.390553094111e-01	4.186787652779e-01
0.0031091           	5.912196019620e-02	-2.305929781212e-17	5.636208751312e-01	9.547317310024e-18	-1.423064787734e-01	-8.183447817268e-18	2.956098009810e-02	2.956098009810e-02	-1.971309672333e-17	-3.346201088791e-18	1.395039587923e-01	4.241169163390e-01
0.00329751          	5.888938073351e-02	-2.607460300776e-17	5.676974694214e-01	1.125449794240e-17	-1.438784297581e-01	-1.259521406190e-17	2.944469036675e-02	2.944469036675e-02	-2.563251556578e-17	-4.420874419803e-19	1.399703049526e-01	4.277271644688e-01
0.00349305          	5.868757853646e-02	-1.864145971636e-17	5.713241430660e-01	1.203982068822e-17	-1.449230190215e-01	-8.227060993019e-18	2.934378926823e-02	2.934378926823e-02	-1.754779085120e-17	-1.093668865160e-18	1.407390525115e-01	4.305850905545e-01
0.00369345          	5.846994186426e-02	-1.860505441879e-17	5.745934431427e-01	1.131085234995e-17	-1.457100926026e-01	-7.166769632135e-18	2.923497093213e-02	2.923497093213e-02	-1.646929684153e-17	-2.135757577262e-18	1.415866289687e-01	4.330068141740e-01
0.00389572          	5.834541767945e-02	-3.705472143799e-17	5.776924347104e-01	1.629321033916e-17	-1.463966914402e-01	-1.939700877814e-17	2.917270883973e-02	2.917270883973e-02	-3.792436949714e-17	8.696480591458e-19	1.424495259150e-01	4.352429087954e-01
0.004098            	5.832811540993e-02	-1.299242698781e-17	5.818296017608e-01	8.831983336885e-18	-1.476954581948e-01	-6.301511482159e-18	2.916405770497e-02	2.916405770497e-02	-1.279772497607e-17	-1.947020117470e-19	1.432193426856e-01	4.386102590752e-01
0.00430028          	5.852091514244e-02	-3.199946682216e-17	5.857476417167e-01	1.328464523712e-17	-1.489550310274e-01	-1.491173049867e-17	2.926045757122e-02	2.926045757122e-02	-3.091146390975e-17	-1.088002912414e-18	1.439187898310e-01	4.418288518857e-01
0.00450416          	5.873594722692e-02	-2.318647514837e-17	5.908041779346e-01	1.381232173337e-17	-1.508297360324e-01	-1.132924008078e-17	2.936797361346e-02	2.936797361346e-02	-2.292247765496e-17	-2.639974934060e-19	1.445723529350e-01	4.462318249997e-01
0.00471082          	5.902836151572e-02	-1.501199194620e-17	5.954534084744e-01	9.051154456365e-18	-1.524412646964e-01	-7.059503557956e-18	2.951418075786e-02	2.951418075786e-02	-1.456549953106e-17	-4.464924151443e-19	1.452854395407e-01	4.501679689336e-01
0.00492086          	5.935502051270e-02	-2.301564579963e-17	6.002024380919e-01	9.474105736554e-18	-1.540164256594e-01	-8.855122587704e-18	2.967751025635e-02	2.967751025635e-02	-2.036294548752e-17	-2.652700312113e-18	1.460847933865e-01	4.541176447053e-01
0.00513368          	5.960545961331e-02	-2.476456472592e-17	6.043842945709e-01	1.741751456655e-17	-1.552520158244e-01	-1.167354529099e-17	2.980272980665e-02	2.980272980665e-02	-2.405582765395e-17	-7.087370719677e-19	1.469401314611e-01	4.574441631098e-01
