# Force             
# CofR              : (0.000000000000e+00 0.000000000000e+00 5.000000000000e-01)
#
# Time              	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
6.32518e-05         	(1.210006014617e+04 1.416877878308e+05 1.439629154521e-13)	(1.207345847002e+04 1.416860022831e+05 -2.435759690243e-16)	(2.660167615188e+01 1.785547614816e+00 1.442064914212e-13)
0.000129784         	(-6.355684118606e+03 -7.264905872143e+04 -7.241581493869e-13)	(-6.383520950763e+03 -7.264957248495e+04 8.292614203299e-17)	(2.783683215657e+01 5.137635240060e-01 -7.242410755289e-13)
0.000206139         	(1.582360699180e+02 2.393259655904e+03 2.225948546425e-13)	(1.297325870478e+02 2.393001541421e+03 -7.610447523145e-18)	(2.850348287019e+01 2.581144832713e-01 2.226024650900e-13)
0.000294695         	(-1.025825478032e+01 6.581878165414e+02 9.583350754032e-13)	(-3.853311018020e+01 6.579024784854e+02 -1.483479117513e-19)	(2.827485539989e+01 2.853380559844e-01 9.583352237512e-13)
0.000396606         	(-3.635031135301e+00 9.294432105448e+02 1.307472299866e-13)	(-3.092369831387e+01 9.290695948653e+02 -1.643085146328e-19)	(2.728866717857e+01 3.736156795412e-01 1.307473942951e-13)
0.000511965         	(-8.879822848366e+00 9.755295347136e+02 5.113942703848e-14)	(-3.473178711279e+01 9.750799986456e+02 -1.471946121912e-18)	(2.585196426442e+01 4.495360679564e-01 5.114089898461e-14)
0.000640932         	(-1.470583894597e+01 1.031759949338e+03 1.081647243285e-13)	(-3.898523914826e+01 1.031254537937e+03 5.396722644580e-18)	(2.427940020229e+01 5.054114006631e-01 1.081593276058e-13)
0.00077745          	(-1.956416425532e+01 1.073974535825e+03 -4.191016697469e-13)	(-4.240731313875e+01 1.073428323076e+03 1.632115539981e-18)	(2.284314888343e+01 5.462127489226e-01 -4.191033018624e-13)
0.000914685         	(-2.197327000171e+01 1.094870646331e+03 1.434643632295e-13)	(-4.364762575349e+01 1.094289799240e+03 -1.080117476448e-18)	(2.167435575178e+01 5.808470903343e-01 1.434654433469e-13)
0.00105563          	(-2.383219255346e+01 1.075984646449e+03 5.678196135500e-13)	(-4.457223033826e+01 1.075373397335e+03 3.918019665746e-18)	(2.074003778481e+01 6.112491143511e-01 5.678156955303e-13)
0.00120514          	(-2.717269206332e+01 1.065903224106e+03 7.995638419837e-14)	(-4.716536889922e+01 1.065262940710e+03 4.997676366541e-18)	(1.999267683590e+01 6.402833959963e-01 7.995138652201e-14)
0.0013669           	(-2.928599314884e+01 1.074874938535e+03 -3.222465948448e-13)	(-4.868247341408e+01 1.074204950595e+03 5.055319233754e-18)	(1.939648026523e+01 6.699879401794e-01 -3.222516501640e-13)
0.00152312          	(-3.041018516134e+01 1.096215142535e+03 5.068519765043e-13)	(-4.937796235413e+01 1.095516644700e+03 1.311574146644e-18)	(1.896777719279e+01 6.984978351490e-01 5.068506649302e-13)
0.00167945          	(-3.185848059925e+01 1.124679602725e+03 5.634678734672e-14)	(-5.050127581949e+01 1.123954573850e+03 -4.976865170135e-18)	(1.864279522024e+01 7.250288746588e-01 5.635176421189e-14)
0.00184366          	(-3.320399047281e+01 1.147449664807e+03 -3.136811676628e-13)	(-5.158401877214e+01 1.146701838625e+03 -4.182477740681e-18)	(1.838002829933e+01 7.478261817544e-01 -3.136769851850e-13)
0.00201979          	(-3.417442886645e+01 1.164068122665e+03 4.537814551910e-13)	(-5.233578084141e+01 1.163302284456e+03 6.418502852117e-19)	(1.816135197496e+01 7.658382085229e-01 4.537808133407e-13)
0.00220069          	(-3.493554892974e+01 1.175932545222e+03 -2.828599183849e-13)	(-5.292235692173e+01 1.175153253419e+03 5.345964783487e-18)	(1.798680799199e+01 7.792918025854e-01 -2.828652643497e-13)
0.00238705          	(-3.642963620775e+01 1.182564666275e+03 4.103643173511e-13)	(-5.427733743049e+01 1.181774879344e+03 1.318067571941e-17)	(1.784770122273e+01 7.897869310600e-01 4.103511366753e-13)
0.00257012          	(-3.770685687150e+01 1.191287047819e+03 7.363426128119e-14)	(-5.544939864170e+01 1.190487753998e+03 -1.744951466725e-18)	(1.774254177021e+01 7.992938210844e-01 7.363600623266e-14)
0.00274902          	(-3.946217693274e+01 1.202511922800e+03 4.171128627315e-14)	(-5.712315615562e+01 1.201703736159e+03 1.573119815939e-17)	(1.766097922287e+01 8.081866403586e-01 4.169555507499e-14)
0.00292731          	(-4.119492923582e+01 1.214911880057e+03 8.103574071115e-14)	(-5.878792559338e+01 1.214095420222e+03 5.661220265748e-18)	(1.759299635756e+01 8.164598352810e-01 8.103007949089e-14)
0.0031091           	(-4.311834409926e+01 1.227525884627e+03 4.997826089203e-14)	(-6.064910034940e+01 1.226702523629e+03 5.221332085223e-18)	(1.753075625014e+01 8.233609983470e-01 4.997303955994e-14)
