# Moment            
# CofR              : (0.000000000000e+00 0.000000000000e+00 5.000000000000e-01)
#
# Time              	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
6.32518e-05         	(2.976692629601e-12 -4.413681534043e-13 7.098051860096e+04)	(2.978811159830e-12 -3.711870392418e-13 7.097973783880e+04)	(-2.118530229678e-15 -7.018111416250e-14 7.807621574556e-01)
0.000129784         	(7.055972814878e-12 -3.610085214734e-13 -3.687276582971e+04)	(7.056831493539e-12 -7.030565908037e-13 -3.687289522012e+04)	(-8.586786613171e-16 3.420480693303e-13 1.293904102400e-01)
0.000206139         	(-2.586734107995e-13 -8.469572060897e-14 8.923875631366e+02)	(-2.595372176713e-13 1.353205300446e-14 8.923818556434e+02)	(8.638068718248e-16 -9.822777361343e-14 5.707493145567e-03)
0.000294695         	(1.986793663345e-14 -4.425543228097e-13 1.956836204203e+00)	(1.664470372532e-14 -8.972831295273e-17 1.939885001000e+00)	(3.223232908132e-15 -4.424645944967e-13 1.695120320273e-02)
0.000396606         	(3.185095127665e-14 -4.937153789482e-14 1.565120855080e+02)	(3.213184739939e-14 9.617382252780e-16 1.564536021331e+02)	(-2.808961227364e-16 -5.033327612010e-14 5.848337490124e-02)
0.000511965         	(1.835922159844e-14 -2.859483387817e-14 1.800087562764e+02)	(1.755601110326e-14 -1.045549357906e-15 1.799174621866e+02)	(8.032104951871e-16 -2.754928452026e-14 9.129408971589e-02)
0.000640932         	(2.226845133120e-14 -5.167862664068e-14 2.147346153458e+02)	(2.147749426186e-14 1.552840437280e-15 2.146288426523e+02)	(7.909570693441e-16 -5.323146707796e-14 1.057726934978e-01)
0.00077745          	(-1.262768271201e-13 1.982178993254e-13 2.418189895960e+02)	(-1.251591097633e-13 -4.188955807754e-15 2.417115218384e+02)	(-1.117717356790e-15 2.024068551332e-13 1.074677576693e-01)
0.000914685         	(-1.164793315066e-13 -6.708693495437e-14 2.539130477116e+02)	(-1.171177538635e-13 -6.503654593438e-15 2.538086636658e+02)	(6.384223568459e-16 -6.058328036093e-14 1.043840457844e-01)
0.00105563          	(3.109579614093e-14 -2.705370463883e-13 2.397472982408e+02)	(2.986414453781e-14 1.285789931005e-15 2.396471020398e+02)	(1.231651603124e-15 -2.718228363193e-13 1.001962010010e-01)
0.00120514          	(8.979455104853e-15 -4.304828307981e-14 2.294176064170e+02)	(1.005671613655e-14 -2.278097910028e-15 2.293204973608e+02)	(-1.077261031695e-15 -4.077018516978e-14 9.710905624434e-02)
0.0013669           	(-1.022533763180e-13 1.550201817357e-13 2.336113734985e+02)	(-1.034235144046e-13 -5.814059832463e-15 2.335148483191e+02)	(1.170138086590e-15 1.608342415682e-13 9.652517939840e-02)
0.00152312          	(2.641787247144e-14 -2.382364801732e-13 2.468630896544e+02)	(2.696462230719e-14 3.417945268680e-15 2.467647787858e+02)	(-5.467498357481e-16 -2.416544254419e-13 9.831086850886e-02)
0.00167945          	(3.248087481308e-14 -1.648247149374e-14 2.636320713128e+02)	(3.252634246673e-14 2.005121469164e-15 2.635312995546e+02)	(-4.546765365336e-17 -1.848759296290e-14 1.007717582298e-01)
0.00184366          	(-1.231696613362e-13 1.395244925102e-13 2.763141378236e+02)	(-1.234222573381e-13 -9.179853941304e-15 2.762113664465e+02)	(2.525960019457e-16 1.487043464515e-13 1.027713770774e-01)
0.00201979          	(2.964001841864e-14 -2.015057340654e-13 2.846502288656e+02)	(2.963035578372e-14 4.039316390592e-15 2.845465241487e+02)	(9.662634912185e-18 -2.055450504560e-13 1.037047168968e-01)
0.00220069          	(-1.377614969530e-13 1.223723237660e-13 2.890853271280e+02)	(-1.376838812786e-13 -9.669996637267e-15 2.889815891680e+02)	(-7.761567445435e-17 1.320423204032e-13 1.037379599987e-01)
0.00238705          	(1.456243851930e-14 -1.909139496561e-13 2.901846586116e+02)	(1.498952518448e-14 2.525554935421e-15 2.900812499749e+02)	(-4.270866651804e-16 -1.934395045915e-13 1.034086366948e-01)
0.00257012          	(2.718540432639e-14 -3.638994030842e-14 2.928125633671e+02)	(2.643942700335e-14 -7.080474133034e-17 2.927091233149e+02)	(7.459773230396e-16 -3.631913556709e-14 1.034400522207e-01)
