station	radius	twist	chord	foil	axis
0	2.858330	11.1	1.949	cylinder	0.5
1	5.075000	11.1	2.269	S818	0.47
2	7.291670	11.1	2.589	S818	0.42
3	9.508330	10.41	2.743	S818	0.375
4	11.72500	8.38	2.578	S818	0.375
5	13.94167	6.35	2.412	S818	0.375
6	16.15833	4.33	2.247	S818	0.375
7	18.37500	2.85	2.082	S825	0.375
8	20.59167	2.22	1.916	S825	0.375
9	22.80833	1.58	1.751	S825	0.375
10	25.02500	0.95	1.585	S825	0.375
11	27.24167	0.53	1.427	S825	0.375
12	29.45833	0.38	1.278	S825	0.375
13	31.67500	0.23	1.129	S826	0.375
14	35.00000	0.095	1.025	S826	0.375
